,Method,Feature Descriptor,k-cluster,Max Accuracy,Max Precision,Max Sensitivity,Max Specificity,Max F1-score,Max AUC,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
61,DecisionTree,akaze,64,1,1,1,1,1,1,0.79227,0.77666,0.74212,0.88181,0.738,0.74212,0.730619315,0.741961568,0.689859441,0.705665063,0.670742383,0.68469095,0.815058384,0.828608282,0.665722535,0.67977859,0.670742383,0.68469095
62,ExtraTreeClassifier,sift,128,1,1,1,1,1,1,0.89832,0.89802,0.89583,0.91666,0.89067,0.89583,0.862214738,0.872102722,0.85414844,0.866289697,0.836789522,0.847793811,0.88359351,0.896573156,0.836082193,0.847329716,0.836789522,0.847793811
63,ExtraTreeClassifier,sift,256,1,1,1,1,1,1,0.86507,0.86247,0.84583,0.92,0.84507,0.84583,0.828677119,0.843926056,0.819512054,0.836385055,0.792193167,0.808640166,0.882243835,0.896756165,0.798080815,0.814670457,0.792193167,0.808640166
64,ExtraTreeClassifier,sift,64,1,1,1,1,1,1,0.90555,0.90817,0.90833,0.93333,0.89522,0.90833,0.874923753,0.884981008,0.873029728,0.883497561,0.867140256,0.878943077,0.886807208,0.899026125,0.858658587,0.870129643,0.867140256,0.878943077
65,ExtraTreeClassifier,surf100,128,1,1,1,1,1,1,0.96333,0.92516,0.92,0.96666,0.92434,0.96,0.905388569,0.913859294,0.895977923,0.905177614,0.893218571,0.90359961,0.928893552,0.935409478,0.891946143,0.901811342,0.893218571,0.90359961
66,ExtraTreeClassifier,surf100,256,1,1,1,1,1,1,0.90341,0.90036,0.89128,0.97,0.88567,0.89128,0.873310538,0.880971513,0.865276345,0.875269126,0.847173281,0.857622173,0.917896003,0.926694906,0.846085525,0.855511256,0.847173281,0.857622173
67,ExtraTreeClassifier,surf100,64,1,1,1,1,1,1,0.92008,0.9283,0.91174,0.97,0.89964,0.91174,0.888785212,0.896214788,0.849800727,0.864795943,0.866184779,0.881625827,0.896791159,0.90149672,0.854803498,0.869928178,0.866184779,0.881625827
68,ExtraTreeClassifier,surf50,128,1,1,1,1,1,1,0.88333,0.88843,0.84583,0.97,0.85725,0.84583,0.848986778,0.858243991,0.844908241,0.85621878,0.808659922,0.820582502,0.930242277,0.937909238,0.815146862,0.826515808,0.808659922,0.820582502
69,ExtraTreeClassifier,surf50,256,1,1,1,1,1,1,0.90128,0.89692,0.88257,0.98333,0.87874,0.88257,0.845363108,0.856303559,0.846669303,0.859688526,0.792724398,0.808146814,0.935730061,0.943345697,0.798536061,0.813540466,0.792724398,0.808146814
70,ExtraTreeClassifier,surf50,512,1,1,1,1,1,1,0.8423,0.87379,0.81628,1,0.81125,0.81628,0.811794725,0.826094164,0.779061331,0.799433162,0.760951988,0.779828315,0.895844884,0.905715722,0.760307326,0.779667254,0.760951988,0.779828315
71,ExtraTreeClassifier,surf50,64,1,1,1,1,1,1,0.9,0.90399,0.887,0.95833,0.884,0.887,0.871281142,0.882436807,0.871341359,0.884534066,0.842081358,0.854501975,0.923839832,0.934993501,0.849554506,0.862067855,0.842081358,0.854501975
72,ExtraTreeClassifier,surf0,1024,1,1,1,1,1,1,0.86666,0.89552,0.82,0.99166,0.83059,0.82,0.822844498,0.834608494,0.828203114,0.8421111,0.767223708,0.782745989,0.931965522,0.940307205,0.775037775,0.790806633,0.767223708,0.782745989
73,ExtraTreeClassifier,surf0,128,1,1,1,1,1,1,0.90555,0.90697,0.89166,0.95833,0.89273,0.89166,0.878363746,0.890012322,0.86758873,0.881753727,0.84969658,0.86355342,0.917167984,0.926998683,0.85450812,0.868217431,0.84969658,0.86355342
74,ExtraTreeClassifier,surf0,256,1,1,1,1,1,1,0.90626,0.91294,0.88333,0.95833,0.8823,0.88333,0.860448027,0.869090435,0.875306592,0.8846434,0.823387555,0.835104869,0.919072555,0.93057896,0.82792778,0.838739792,0.823387555,0.835104869
75,ExtraTreeClassifier,surf0,512,1,1,1,1,1,1,0.89017,0.90091,0.84924,0.98333,0.8487,0.84924,0.836352235,0.846921269,0.809800954,0.828428641,0.76714869,0.784836158,0.930090057,0.93787964,0.773972513,0.792212368,0.76714869,0.784836158
76,ExtraTreeClassifier,surf0,64,1,1,1,1,1,1,0.89572,0.89536,0.88295,0.93333,0.87429,0.88295,0.871784219,0.881113217,0.853475426,0.867420359,0.843543238,0.855949186,0.893536605,0.90811491,0.839249514,0.852813997,0.843543238,0.855949186
77,ExtraTreeClassifier,orb,128,1,1,1,1,1,1,0.86666,0.85954,0.84583,0.92,0.84872,0.84583,0.830507257,0.842619727,0.820227806,0.833809284,0.808053552,0.821446448,0.873177022,0.885489645,0.80773853,0.821183459,0.808053552,0.821446448
78,ExtraTreeClassifier,orb,256,1,1,1,1,1,1,0.8261,0.82502,0.80416,0.91666,0.79212,0.80416,0.792266412,0.802892318,0.778428097,0.789992782,0.757481618,0.771268382,0.859940992,0.873559008,0.748413344,0.760971679,0.757481618,0.771268382
79,ExtraTreeClassifier,orb,64,1,1,1,1,1,1,0.87142,0.87113,0.87916,0.91666,0.85647,0.87916,0.840189707,0.853842039,0.833207468,0.848436669,0.83869514,0.85155486,0.854679577,0.872153756,0.819211332,0.834267973,0.83869514,0.85155486
80,ExtraTreeClassifier,brisk,128,1,1,1,1,1,1,0.81764,0.80957,0.7,0.93333,0.76385,0.7,0.781122242,0.791465993,0.747533889,0.761327349,0.710155917,0.723777416,0.88048403,0.890182637,0.715565334,0.729213287,0.710155917,0.723777416
81,ExtraTreeClassifier,brisk,256,1,1,1,1,1,1,0.78823,0.80305,0.717,0.93333,0.7291,0.717,0.757789884,0.767033646,0.756049246,0.771704581,0.66143683,0.67461317,0.890966151,0.903533849,0.66042667,0.673657045,0.66143683,0.67461317
82,ExtraTreeClassifier,brisk,64,1,1,1,1,1,1,0.81176,0.79678,0.767,0.90833,0.77217,0.767,0.776288012,0.788535518,0.74808356,0.765752707,0.711826928,0.727106405,0.866048921,0.878617746,0.712720315,0.728792,0.711826928,0.727106405
83,ExtraTreeClassifier,kaze,128,1,1,1,1,1,1,0.83675,0.84901,0.80416,0.92,0.79034,0.80416,0.805517378,0.813901425,0.811389202,0.820889515,0.762464048,0.774619285,0.891669804,0.905496863,0.751173141,0.760446485,0.762464048,0.774619285
84,ExtraTreeClassifier,kaze,256,1,1,1,1,1,1,0.82564,0.85076,0.78333,0.93333,0.779,0.78333,0.778541526,0.788894371,0.780086078,0.793730571,0.71465561,0.72784439,0.906334578,0.918665422,0.713040386,0.724710786,0.71465561,0.72784439
85,ExtraTreeClassifier,kaze,64,1,1,1,1,1,1,0.83589,0.8218,0.77,0.91666,0.78617,0.77,0.798186881,0.81049688,0.782681796,0.802674914,0.722701872,0.741631461,0.883456208,0.898543792,0.735572064,0.754377726,0.722701872,0.741631461
86,ExtraTreeClassifier,akaze,128,1,1,1,1,1,1,0.81727,0.83029,0.75962,0.93333,0.76689,0.75962,0.792788305,0.803932283,0.757096133,0.777455306,0.722403486,0.737138938,0.889815272,0.905669576,0.717544308,0.734950823,0.722403486,0.737138938
