,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
47,DecisionTree_surf0_256,78.8,78.29,74.92,88.33,74.55,74.92,71.78,73.14,68.25,69.89,67.42,69.01,79.25,80.78,66.48,68.04,67.42,69.01
48,DecisionTree_surf0_512,78.03,74.94,74.89,84.92,74.27,74.89,71.59,72.86,68.03,69.65,66.99,68.55,79.13,80.62,66.1,67.65,66.99,68.55
49,DecisionTree_surf0_64,82.9,81.65,81.17,89.17,79.8,81.17,76.86,78.02,73.87,75.41,72.58,74.01,83.15,84.53,72.01,73.46,72.58,74.01
50,DecisionTree_orb_128,79.12,75.6,75.42,87.0,75.3,75.42,73.66,74.95,70.04,71.7,68.71,70.25,81.3,82.68,68.14,69.67,68.71,70.25
51,DecisionTree_orb_256,81.51,81.32,77.92,86.67,77.81,77.92,74.38,75.64,71.35,72.89,70.6,72.12,81.01,82.54,69.4,70.89,70.6,72.12
52,DecisionTree_orb_64,83.1,83.0,79.17,0.0,79.49,79.17,75.71,77.03,73.51,75.22,71.23,72.81,83.07,84.68,70.58,72.23,71.23,72.81
53,DecisionTree_brisk_128,78.24,75.06,74.67,86.67,74.15,74.67,72.37,73.7,67.67,69.44,66.28,67.89,80.83,82.24,65.79,67.43,66.28,67.89
54,DecisionTree_brisk_256,76.47,72.79,69.58,87.0,69.39,69.58,70.25,71.5,65.52,67.25,63.44,64.85,79.67,81.31,62.77,64.25,63.44,64.85
55,DecisionTree_brisk_64,78.24,75.57,76.42,80.0,74.97,76.42,73.57,74.85,69.12,70.86,68.2,69.77,80.96,82.39,67.45,69.06,68.2,69.77
56,DecisionTree_kaze_128,79.02,78.08,77.92,89.17,74.9,77.92,73.06,74.22,69.31,70.74,69.48,71.02,79.27,80.7,67.5,68.87,69.48,71.02
57,DecisionTree_kaze_256,77.22,75.72,70.0,86.67,74.76,70.0,71.99,73.31,68.12,69.68,67.75,69.38,79.92,81.45,66.09,67.58,67.75,69.38
58,DecisionTree_kaze_64,78.46,75.14,75.83,88.33,74.08,75.83,73.1,74.4,68.53,70.35,66.7,68.51,80.36,81.85,66.38,68.13,66.7,68.51
59,DecisionTree_akaze_128,75.66,74.31,72.26,84.92,70.85,72.26,72.14,73.49,68.17,69.88,66.61,68.14,79.89,81.58,65.86,67.45,66.61,68.14
60,DecisionTree_akaze_256,78.46,75.14,75.83,88.33,74.08,75.83,73.1,74.4,68.53,70.35,66.7,68.51,80.36,81.85,66.38,68.13,66.7,68.51
61,DecisionTree_akaze_64,79.23,77.67,74.21,88.18,73.8,74.21,73.06,74.2,68.99,70.57,67.07,68.47,81.51,82.86,66.57,67.98,67.07,68.47
62,ExtraTreeClassifier_sift_128,0.0,89.8,89.58,91.67,89.07,89.58,86.22,87.21,85.41,86.63,83.68,84.78,88.36,89.66,83.61,84.73,83.68,84.78
63,ExtraTreeClassifier_sift_256,86.51,86.25,84.58,92.0,84.51,84.58,82.87,84.39,81.95,83.64,79.22,80.86,88.22,89.68,79.81,81.47,79.22,80.86
64,ExtraTreeClassifier_sift_64,90.56,90.82,90.83,93.33,89.52,90.83,87.49,88.5,87.3,88.35,86.71,87.89,88.68,89.9,85.87,87.01,86.71,87.89
65,ExtraTreeClassifier_surf100_128,93.33,92.52,92.0,96.67,92.43,92.0,90.54,91.39,89.6,90.52,89.32,90.36,92.89,93.54,89.19,90.18,89.32,90.36
66,ExtraTreeClassifier_surf100_256,90.34,90.04,89.13,97.0,88.57,89.13,87.33,88.1,86.53,87.53,84.72,85.76,91.79,92.67,84.61,85.55,84.72,85.76
67,ExtraTreeClassifier_surf100_64,92.01,92.83,91.17,97.0,89.96,91.17,88.88,89.62,84.98,86.48,86.62,88.16,89.68,90.15,85.48,86.99,86.62,88.16
68,ExtraTreeClassifier_surf50_128,88.33,88.84,84.58,97.0,85.72,84.58,84.9,85.82,84.49,85.62,80.87,82.06,93.02,93.79,81.51,82.65,80.87,82.06
69,ExtraTreeClassifier_surf50_256,90.13,89.69,88.26,98.33,87.87,88.26,84.54,85.63,84.67,85.97,79.27,80.81,93.57,94.33,79.85,81.35,79.27,80.81
70,ExtraTreeClassifier_surf50_512,84.23,87.38,81.63,100.0,81.12,81.63,81.18,82.61,77.91,79.94,76.1,77.98,89.58,90.57,76.03,77.97,76.1,77.98
