,Algo,AUC,F1,SPEC,SENS,PRE,ACC
33,DecisionTree sift 256,(72.72 - 74.41),(72.13 - 73.82),(82.57 - 84.17),(72.72 - 74.41),(73.96 - 75.73),(76.43 - 77.92)
34,DecisionTree sift 64,(75.59 - 77.06),(75.3 - 76.75),(84.8 - 86.17),(75.59 - 77.06),(77.65 - 79.2),(79.22 - 80.49)
35,DecisionTree surf 128,(71.65 - 73.15),(71.14 - 72.67),(82.54 - 84.09),(71.65 - 73.15),(73.34 - 74.96),(76.29 - 77.56)
36,DecisionTree surf 256,(71.43 - 73.02),(70.36 - 71.9),(82.47 - 83.84),(71.43 - 73.02),(72.1 - 73.71),(75.13 - 76.45)
37,DecisionTree surf 64,(76.96 - 78.42),(75.78 - 77.24),(84.79 - 86.16),(76.96 - 78.42),(77.54 - 78.99),(79.66 - 80.86)
38,DecisionTree surf100 128,(75.02 - 76.57),(74.31 - 75.83),(84.2 - 85.48),(75.02 - 76.57),(75.95 - 77.46),(78.4 - 79.64)
39,DecisionTree surf100 256,(72.49 - 73.93),(71.77 - 73.2),(82.78 - 84.13),(72.49 - 73.93),(73.52 - 75.03),(76.29 - 77.5)
40,DecisionTree surf100 64,(74.06 - 75.52),(73.51 - 74.98),(84.33 - 85.62),(74.06 - 75.52),(75.18 - 76.68),(78.19 - 79.34)
41,DecisionTree surf50 128,(69.06 - 70.53),(68.49 - 69.94),(82.52 - 83.83),(69.06 - 70.53),(70.59 - 72.14),(73.96 - 75.17)
42,DecisionTree surf50 256,(68.61 - 70.22),(67.92 - 69.5),(81.29 - 82.64),(68.61 - 70.22),(69.73 - 71.38),(73.41 - 74.7)
43,DecisionTree surf50 512,(64.97 - 66.55),(64.38 - 65.97),(78.74 - 80.24),(64.97 - 66.55),(66.03 - 67.74),(70.38 - 71.73)
44,DecisionTree surf50 64,(70.89 - 72.38),(70.44 - 71.93),(82.68 - 83.99),(70.89 - 72.38),(72.27 - 73.85),(75.45 - 76.69)
45,DecisionTree surf0 1024,(63.24 - 64.87),(62.21 - 63.81),(77.42 - 78.91),(63.24 - 64.87),(63.91 - 65.61),(68.41 - 69.76)
46,DecisionTree surf0 128,(72.22 - 73.78),(71.69 - 73.23),(82.64 - 83.98),(72.22 - 73.78),(73.25 - 74.86),(76.32 - 77.61)
47,DecisionTree surf0 256,(67.42 - 69.01),(66.48 - 68.04),(79.25 - 80.78),(67.42 - 69.01),(68.25 - 69.89),(71.78 - 73.14)
48,DecisionTree surf0 512,(66.99 - 68.55),(66.1 - 67.65),(79.13 - 80.62),(66.99 - 68.55),(68.03 - 69.65),(71.59 - 72.86)
49,DecisionTree surf0 64,(72.58 - 74.01),(72.01 - 73.46),(83.15 - 84.53),(72.58 - 74.01),(73.87 - 75.41),(76.86 - 78.02)
50,DecisionTree orb 128,(68.71 - 70.25),(68.14 - 69.67),(81.3 - 82.68),(68.71 - 70.25),(70.04 - 71.7),(73.66 - 74.95)
51,DecisionTree orb 256,(70.6 - 72.12),(69.4 - 70.89),(81.01 - 82.54),(70.6 - 72.12),(71.35 - 72.89),(74.38 - 75.64)
52,DecisionTree orb 64,(71.23 - 72.81),(70.58 - 72.23),(83.07 - 84.68),(71.23 - 72.81),(73.51 - 75.22),(75.71 - 77.03)
53,DecisionTree brisk 128,(66.28 - 67.89),(65.79 - 67.43),(80.83 - 82.24),(66.28 - 67.89),(67.67 - 69.44),(72.37 - 73.7)
54,DecisionTree brisk 256,(63.44 - 64.85),(62.77 - 64.25),(79.67 - 81.31),(63.44 - 64.85),(65.52 - 67.25),(70.25 - 71.5)
55,DecisionTree brisk 64,(68.2 - 69.77),(67.45 - 69.06),(80.96 - 82.39),(68.2 - 69.77),(69.12 - 70.86),(73.57 - 74.85)
56,DecisionTree kaze 128,(69.48 - 71.02),(67.5 - 68.87),(79.27 - 80.7),(69.48 - 71.02),(69.31 - 70.74),(73.06 - 74.22)
57,DecisionTree kaze 256,(67.75 - 69.38),(66.09 - 67.58),(79.92 - 81.45),(67.75 - 69.38),(68.12 - 69.68),(71.99 - 73.31)
58,DecisionTree kaze 64,(66.7 - 68.51),(66.38 - 68.13),(80.36 - 81.85),(66.7 - 68.51),(68.53 - 70.35),(73.1 - 74.4)
59,DecisionTree akaze 128,(66.61 - 68.14),(65.86 - 67.45),(79.89 - 81.58),(66.61 - 68.14),(68.17 - 69.88),(72.14 - 73.49)
60,DecisionTree akaze 256,(66.7 - 68.51),(66.38 - 68.13),(80.36 - 81.85),(66.7 - 68.51),(68.53 - 70.35),(73.1 - 74.4)
61,DecisionTree akaze 64,(67.07 - 68.47),(66.57 - 67.98),(81.51 - 82.86),(67.07 - 68.47),(68.99 - 70.57),(73.06 - 74.2)
62,ExtraTreeClassifier sift 128,(83.68 - 84.78),(83.61 - 84.73),(88.36 - 89.66),(83.68 - 84.78),(85.41 - 86.63),(86.22 - 87.21)
63,ExtraTreeClassifier sift 256,(79.22 - 80.86),(79.81 - 81.47),(88.22 - 89.68),(79.22 - 80.86),(81.95 - 83.64),(82.87 - 84.39)
64,ExtraTreeClassifier sift 64,(86.71 - 87.89),(85.87 - 87.01),(88.68 - 89.9),(86.71 - 87.89),(87.3 - 88.35),(87.49 - 88.5)
65,ExtraTreeClassifier surf100 128,(89.32 - 90.36),(89.19 - 90.18),(92.89 - 93.54),(89.32 - 90.36),(89.6 - 90.52),(90.54 - 91.39)
66,ExtraTreeClassifier surf100 256,(84.72 - 85.76),(84.61 - 85.55),(91.79 - 92.67),(84.72 - 85.76),(86.53 - 87.53),(87.33 - 88.1)
67,ExtraTreeClassifier surf100 64,(86.62 - 88.16),(85.48 - 86.99),(89.68 - 90.15),(86.62 - 88.16),(84.98 - 86.48),(88.88 - 89.62)
68,ExtraTreeClassifier surf50 128,(80.87 - 82.06),(81.51 - 82.65),(93.02 - 93.79),(80.87 - 82.06),(84.49 - 85.62),(84.9 - 85.82)
69,ExtraTreeClassifier surf50 256,(79.27 - 80.81),(79.85 - 81.35),(93.57 - 94.33),(79.27 - 80.81),(84.67 - 85.97),(84.54 - 85.63)
70,ExtraTreeClassifier surf50 512,(76.1 - 77.98),(76.03 - 77.97),(89.58 - 90.57),(76.1 - 77.98),(77.91 - 79.94),(81.18 - 82.61)
71,ExtraTreeClassifier surf50 64,(84.21 - 85.45),(84.96 - 86.21),(92.38 - 93.5),(84.21 - 85.45),(87.13 - 88.45),(87.13 - 88.24)
72,ExtraTreeClassifier surf0 1024,(76.72 - 78.27),(77.5 - 79.08),(93.2 - 94.03),(76.72 - 78.27),(82.82 - 84.21),(82.28 - 83.46)
73,ExtraTreeClassifier surf0 128,(84.97 - 86.36),(85.45 - 86.82),(91.72 - 92.7),(84.97 - 86.36),(86.76 - 88.18),(87.84 - 89.0)
74,ExtraTreeClassifier surf0 256,(82.34 - 83.51),(82.79 - 83.87),(91.91 - 93.06),(82.34 - 83.51),(87.53 - 88.46),(86.04 - 86.91)
